,0,1,2
153,LC,27.7561278378,2.78393818262
154,Titan,20.1939777442,6.01271654184
155,Eclypsia,21.4291626755,6.75331849847
156,Pulse,26.1490964553,4.26522058253
157,NTH,32.8684395079,2.92730632679
158,NME,19.2073204922,5.80475896051
159,AF 3,22.161897673,6.94223020476
160,MUFC,28.7702300623,4.84072924793
161,Power Rangers,28.3149880709,1.54543753665
162,rbd,19.7845956536,6.4235182311
163,CL,29.4902235267,1.62127563355
164,TOP5,24.5564889672,4.9806372069
165,Nyx,33.5373345923,2.88606065029
166,WhA,17.7568073938,5.52115313484
167,HCWP,25.1194105077,4.09790932987
168,Smeagol,19.4324068581,5.86026262965
169,Rex Regum,18.6464867575,5.68547698883
170,DG,17.9489282811,5.12156554911
171,DD,22.4513337502,7.03316388598
172,DC,27.181001281,1.23038378707
173,dd.Dota,19.0097978808,5.50010053212
174,CIS,19.0138115644,5.76852753436
175,Secret,31.1841713035,0.797622469426
176,IMG,16.7994795671,4.78355596817
177,SumsRift,27.481670393,2.62089922324
178,DW,20.3926700548,6.09593194946
179,TeamYP,20.3829248593,6.09350329296
180,MVP Phoenix,27.0293092648,0.834833948526
181,LD,19.9877547261,5.9920548207
182,PoF 2,21.484030814,2.77406371993
183,CnS,21.723908668,6.85302396994
184,G00mba,25.7218649503,4.23603772998
185,Cant Say,15.4459257896,3.95829824005
186,Revenge,22.5037427768,3.41626249071
187,Super Strong,34.5877462227,5.15892810351
188,Fusion,21.2320797759,6.69015106718
189,SplasH,21.3522994851,6.72048912482
190,The House,19.4390164081,5.85714669766
191,YeS 2,20.3889922257,3.21330100485
192,SIGMA.int,26.8455652866,2.73332937078
193,DB 3,23.8958161839,3.8604614218
194,SGC,21.2674649595,6.47288616623
195,TC,21.2428927141,6.34753430571
196,iG,30.4244969549,0.864297482716
197,GOOMBA,27.0064776744,4.28220638677
198,Desire,19.690099424,5.91655320798
199,VA,20.54860351,6.14011719551
200,VB,24.2248316523,2.12689662837
201,FTD.B,27.156101152,2.87048756963
202,CDEC.A,25.4917923529,3.34340771326
203,PRIES,27.9348061631,3.3384788866
204,VG,32.4722634439,0.798005113888
205,VP,27.9857981183,1.33613981071
206,Vega,30.8861918457,0.938253511084
207,CNB,18.0319838053,5.02250461036
208,G Guard 3,17.2330315114,5.50826294927
209,TNC,25.4539247422,1.88449033655
210,Darer,21.4958308369,6.77114306318
211,Team Life,26.4910394086,4.33544717535
212,Enso,24.2811724079,4.25422426551
213,CDEC.Y,24.0228339423,2.74545324361
214,Empire,30.0139100241,0.820286072673
215,Arcanys,17.5379579897,4.2034166106
216,Typical,17.3775169336,4.75029221669
217,LGD.cn,31.4071974121,0.806328983635
218,99,19.6044007975,5.89666311846
219,FanTuan,27.4196636119,2.77744276347
220,paiN,15.8086411007,4.82202788187
221,Newbee.Y,25.8642746142,1.68061249782
222,DNT,21.4192085682,6.7367440975
223,Ehome.My,33.0392719598,5.96055678901
224,SiG.Tr,23.2679622364,1.57145224907
225,KungFu,26.2437948993,4.33635134044
226,mYi,21.1409987257,6.31735216763
227,Newbee.M,18.9957109672,3.29927727616
228,NaVi.US,26.8699776892,2.90719050989
229,Mineski,27.5149025088,1.02573731564
230,Stay Free,26.4183996673,4.33328407397
