,hero_id,General Rate,Early,Mid,Late
17,17.0,0.517906336088,0.515463917526,0.521008403361,0.520547945205
18,18.0,0.5,0.542857142857,0.519230769231,0.450980392157
19,19.0,0.489361702128,0.44578313253,0.47,0.545454545455
20,20.0,0.469565217391,0.503311258278,0.429530201342,0.475
21,21.0,0.596825396825,0.621951219512,0.641666666667,0.530973451327
22,22.0,0.524904214559,0.736842105263,0.544303797468,0.41935483871
23,23.0,0.592592592593,0.473684210526,0.5625,0.736842105263
24,24.0,-1.0,-1.0,-1.0,-1.0
25,25.0,0.521148036254,0.537037037037,0.530516431925,0.503496503497
26,26.0,0.506329113924,0.606382978723,0.446153846154,0.497076023392
27,27.0,0.587209302326,0.509803921569,0.636363636364,0.606060606061
28,28.0,0.460490463215,0.48275862069,0.489208633094,0.401785714286
29,29.0,0.42654028436,0.454545454545,0.407894736842,0.425
30,30.0,0.533453887884,0.552631578947,0.557291666667,0.495192307692
31,31.0,0.467980295567,0.491525423729,0.428571428571,0.486486486486
32,32.0,0.5,0.428571428571,0.8,0.25
33,33.0,0.447513812155,0.44,0.428571428571,0.470588235294
34,34.0,0.602272727273,0.428571428571,0.666666666667,0.617021276596
35,35.0,0.457943925234,0.363636363636,0.472222222222,0.489795918367
36,36.0,0.461538461538,0.333333333333,0.5,0.5
37,37.0,0.58064516129,0.625,0.7,0.461538461538
38,38.0,0.442996742671,0.378048780488,0.403669724771,0.521739130435
39,39.0,0.520689655172,0.525581395349,0.523364485981,0.513513513514
40,40.0,0.447204968944,0.45652173913,0.454545454545,0.433333333333
41,41.0,0.44578313253,0.442307692308,0.416666666667,0.469696969697
42,42.0,0.439024390244,0.540540540541,0.347826086957,0.45
43,43.0,0.517006802721,0.547169811321,0.48,0.522727272727
44,44.0,0.463414634146,0.48,0.433333333333,0.481481481481
45,45.0,0.5,0.366666666667,0.56,0.608695652174
46,46.0,0.478405315615,0.473684210526,0.442307692308,0.519607843137
47,47.0,0.517605633803,0.493827160494,0.482352941176,0.559322033898
48,48.0,0.550387596899,0.58,0.552631578947,0.512195121951
49,49.0,0.452554744526,0.450549450549,0.425531914894,0.483146067416
50,50.0,0.48167539267,0.490990990991,0.5,0.461538461538
51,51.0,0.528213166144,0.468965517241,0.543378995434,0.549450549451
52,52.0,0.461038961039,0.43661971831,0.463636363636,0.472440944882
53,53.0,0.515151515152,0.445205479452,0.55905511811,0.552845528455
54,54.0,0.555555555556,0.582089552239,0.492537313433,0.58904109589
55,55.0,0.494397759104,0.482587064677,0.502024291498,0.494339622642
56,56.0,0.476744186047,0.529411764706,0.588235294118,0.342857142857
57,57.0,0.353846153846,0.37037037037,0.388888888889,0.3
58,58.0,0.5859375,0.5,0.720930232558,0.533333333333
59,59.0,0.444444444444,0.296296296296,0.541666666667,0.52380952381
60,60.0,0.537313432836,0.623376623377,0.5,0.525862068966
61,61.0,0.482587064677,0.483870967742,0.5,0.456140350877
