,hero_id,General Rate,Early,Mid,Late,Poly1,Poly2,Poly3,Poly4
0,1.0,0.515837104072,0.595744680851,0.539682539683,0.468468468468,-3.39542840387e-11,9.48970573744e-08,-2.69886971671e-05,0.51241276816
1,2.0,0.529100529101,0.535714285714,0.561403508772,0.5,-2.48380202933e-11,8.58564972691e-08,-6.11362755006e-05,0.530860016174
2,3.0,0.470890410959,0.416184971098,0.546798029557,0.442307692308,-3.92607719944e-11,1.58988544822e-07,-0.000151822272365,0.479215379939
3,4.0,0.513157894737,0.714285714286,0.48275862069,0.454545454545,-2.39551250272e-11,1.8621583281e-08,9.94741771244e-05,0.498663845659
4,5.0,0.429223744292,0.333333333333,0.407894736842,0.532467532468,5.05564116202e-11,-1.39801685974e-07,4.79824178742e-05,0.433042096883
5,6.0,0.520958083832,0.423728813559,0.59649122807,0.56,-1.49783765593e-11,9.53355577876e-08,-0.00013152304044,0.531150354001
6,7.0,0.521923620934,0.585526315789,0.53813559322,0.479623824451,-2.70009685259e-11,7.42859081558e-08,-2.00163123307e-05,0.519114322724
7,8.0,0.471177944862,0.479338842975,0.469798657718,0.46511627907,-1.96155726658e-12,3.62016295137e-09,2.16180040888e-06,0.470636716319
8,9.0,0.481981981982,0.524390243902,0.482142857143,0.440476190476,-1.66450717404e-11,4.09993407998e-08,-5.22286978254e-06,0.479721550449
9,10.0,0.519480519481,0.568181818182,0.538461538462,0.465517241379,-3.00867330337e-11,8.74994550641e-08,-3.7224030574e-05,0.518012030762
10,11.0,0.448079658606,0.441176470588,0.402390438247,0.5,3.79624523545e-11,-1.30288430541e-07,9.36459654495e-05,0.445263753995
11,12.0,0.494623655914,0.566666666667,0.489361702128,0.464,-1.40947844875e-11,2.53629942563e-08,2.18916882418e-05,0.489884854608
12,13.0,0.527272727273,0.486486486486,0.589473684211,0.5,-3.37201619146e-11,1.34069703391e-07,-0.000124823921434,0.533876670616
13,14.0,0.633333333333,0.545454545455,0.75,0.333333333333,-1.33661446038e-10,4.61926907286e-07,-0.00038022971584,0.65020340544
14,15.0,0.48632218845,0.566265060241,0.485714285714,0.439716312057,-2.18240872669e-11,4.86492429119e-08,9.43649345145e-06,0.481539523608
15,16.0,0.502564102564,0.591836734694,0.474576271186,0.471264367816,-5.09189739382e-12,-1.42663890297e-08,6.24815287269e-05,0.495412528518
